Unnamed: 0,번호,제목,저자,출판사,출판일,학위논문사항
,1,Holistic Cross-Layer Improvements for Big Data Processing in New Computing Environments,"Nguyen, Nam S",University of Massachusetts Boston,2020,해외박사(DDOD)
,2,Network Design in the Big-Data Age,"Zhou, Xia","University of California, Santa Barbara",2013,해외박사(DDOD)
,3,Machine learning–based prediction model and big data-associated risk factors of COVID-19 = 감염병 대응을 위한 의료빅데이터 관련 위험인자 분석 및 기계학습을 통한 예측모형 개발,연동건,세종대학교 대학원,2024,국내박사
,4,"Partial EM Procedure for Big-Data Linear Mixed Effects Model, and Generalized PPE for High-Dimensional Data in Julia","Cho, Jang-Ik",Case Western Reserve University,2018,해외박사(DDOD)
,5,Materials data repository and big-data tool for data-driven material science = 데이터 중심의 재료 과학 연구를위한 재료 데이터 저장소 및 기계 학습 도구,SAMUEL BOATENG,University of Science and Technology,2020,국내박사
,6,Multi-objective Optimization of Big Data Transfers,"Nine, Md S. Q. Zulkar",State University of New York at Buffalo,2020,해외박사(DDOD)
,7,"Quantifying the ""Placeness"" of local commercial districts using social big data",권소연,"Graduate School, Yonsei University",2022,국내석사
,8,Spectral Top-N: A Computationally Efficient Top-N Algorithm for Big Data Analytics,"Hutchison, Kenneth",The Pennsylvania State University,2015,해외박사(DDOD)
,9,"Long/Short-term Predictions of Algal Blooms Using the Machine Learning and Modeling Approaches, Based on the Big-Data Mining, Along with Water Quality Assessments and Managements",이혜숙,忠南大學校 大學院,2019,국내박사
,10,유전체 빅데이터 기반의 유전 마커 발굴 및 표현형 예측 = Genetic marker selection and phenotype prediction based on genomic big-data,김재윤,과학기술연합대학원대학교,2021,국내박사
,11,Customized Computing: Acceleration of Big-Data Applications,"Qiao, Weikang","University of California, Los Angeles",2022,해외박사(DDOD)
,12,Probabilistic hashing techniques for big data,"Shrivastava, Anshumali",Cornell University,2015,해외박사(DDOD)
,13,API Design and Middleware Optimization for Big Data and Machine Learning Applications,"Guo, Jia",The Ohio State University,2021,해외박사(DDOD)
,14,ICT Policy Principles to Design a Digital Center for Big Data Management in Rwanda = 빅데이터 관리를 위한 디지털 센터 설계를 위한 ICT 정책 원리 르완다에서,"엔쿤지마나, 도나스",부산대학교 대학원,2020,국내석사
,15,Geo-distributed big data processing,"Jayalath, Chamikara Madhusanka",Purdue University,2014,해외박사(DDOD)
,16,스마트팩토리 환경에서 제조 빅데이터 아키텍처 개발 = Development of Manufacturing Big Data Architecture in Smart Factory Environments,박상일,한국해양대학교 대학원,2023,국내박사
,17,"A study on the factors influencing the adoption of Big data for managing basic food commodities at the Ministry of Industrialization, Trade and Consumption in Madagascar = 마다가스카르 산업통상소비부 기초식품 관리를 위한 빅데이터 도입에 미치는 영향요인 연구",Vololoniaina Lucienne,숭실대학교 정보과학대학원,2023,국내석사
,18,빅데이터 역량이 기업의 동태적 마케팅 역량과 성과에 미치는 영향 연구 : -중국 기업을 중심으로- = The Influence of Big Data Capabilities on Firms’ Dynamic Marketing Capabilities and Performance: Focused on Chinese Companies,옹업림,목원대학교 대학원,2023,국내박사
,19,"Big data present and future in the developing countries ""Senegal as an example"" = English",무하메드,배재대학교,2018,국내석사
,20,Scalable Big Data Analytics using Divide-and-Conquer and Data Fusion for Remote Sensing Applications : 원격 감지 어플리케이션을위한 Divide-and-Conquer 및 Data Fusion을 사용하는 확장 가능한 대규모 데이터 분석,"Ahmad, Awais",경북대학교 대학원,2017,국내박사
,21,(A) STUDY ON SAFETY-CRITICAL CYBER PHYSICAL SYSTEM ARCHITECTURE AND ITS TIME SERIES BIG DATA ANALYSIS,임유진,국민대학교 비즈니스IT전문대학원,2016,국내박사
,22,Intermediate results orchestration based service-oriented data and knowledge curation framework for intelligent video big data analytics in the cloud,Aftab Alam,경희대학교 대학원,2021,국내박사
,23,(A) social big data approach to spatial experiences and interior design elements : focusing on user-generated content of lifestyle hotels on Instagram,한유진,"Graduate School, Yonsei University",2022,국내박사
,24,Spatial big data analytics for urban informatics,"Evans, Michael Robert",University of Minnesota,2013,해외박사(DDOD)
,25,Establishing Secure IoT-Based Smart City using Real-Time Big Data Analytics and Cryptosystems : 실시간 Big Data Analytics 및 Cryptosystems를 이용한 안전한 IoT 기반 Smart City 구축,"Rathore, Muhammad Mazhar Ullah",경북대학교 대학원,2017,국내박사
,26,(A) study on the improvement for big data utilization- focused on health insurance claims data-,정보영,"Graduate School, Yonsei University",2018,국내박사
,27,(The) role of public sector for creating big data value : exploring the challenges moving forward in data economy,Ji Yeon Cho,"Graduate School of Information, Yonsei University",2018,국내박사
,28,A Study on the Influence of Entrepreneurial Orientation and Big Data Capability on the Performance of Science and Technology Enterprises in China : Focusing on Business Model Innovation and Knowledge Creation = 기업가적 지향성과 빅데이터 능력이 중국 과학기술기업의 성과에 미치는 영향에 관한 연구: 비지니스모델의 혁신과 지식창출을 중심으로,이남,우석대학교 일반대학원,2023,국내박사
,29,"A Privacy Protection Scheme based on Law, Technology and Management Factors in Big Data Environment = 빅 데이터 환경에서 법률, 기술 및 관리 요인에 기반한 개인 정보 보호 체계",왕덕규,원광대학교 일반대학원,2021,국내박사
,30,Case Study of Analysis the Marketing Management and Development Trend of the China Mobile Company Based on Big Data,덩쓰위안,호서대학교 대학원,2022,국내박사
,31,"Big Data Analysis for Manufacturing Operations Innovation: Design Text, Production Network, Quality Classification = 제조 운영 혁신을 위한 빅 데이터 분석: 설계 텍스트, 생산 네트워크, 품질 분류",양지원,서울대학교 대학원,2023,국내박사
,32,Critical Factors Affecting The Adoption of Big Data Systems For Smart Grid  (BD-SG) In Egypt = 이집트의 스마트 그리드(BD-SG)용 빅데이터 시스템의 도입에 영향을 미치는 핵심 요인 연구,애쉬마위이매드 로프티,숭실대학교 정보과학대학원,2017,국내석사
