시도군구,시도_x,군구_x,count,계
강원특별자치도 강릉시,강원특별자치도,강릉시,4,207737
강원특별자치도 동해시,강원특별자치도,동해시,1,87716
강원특별자치도 삼척시,강원특별자치도,삼척시,1,61952
강원특별자치도 속초시,강원특별자치도,속초시,1,81025
강원특별자치도 영월군,강원특별자치도,영월군,1,36820
강원특별자치도 원주시,강원특별자치도,원주시,1,362213
강원특별자치도 정선군,강원특별자치도,정선군,2,33583
강원특별자치도 춘천시,강원특별자치도,춘천시,5,286110
강원특별자치도 태백시,강원특별자치도,태백시,1,37997
강원특별자치도 홍천군,강원특별자치도,홍천군,1,66810
경기도 구리시,경기도,구리시,1,186775
경기도 남양주시,경기도,남양주시,2,732586
경기도 동두천시,경기도,동두천시,1,86889
경기도 시흥시,경기도,시흥시,1,518586
경기도 안성시,경기도,안성시,2,193612
경기도 양주시,경기도,양주시,1,288273
경기도 양평군,경기도,양평군,1,126825
경기도 여주시,경기도,여주시,1,114751
경기도 의정부시,경기도,의정부시,1,461032
경기도 이천시,경기도,이천시,1,222623
경기도 파주시,경기도,파주시,1,510140
경기도 평택시,경기도,평택시,1,597734
경기도 포천시,경기도,포천시,2,141572
경기도 화성시,경기도,화성시,1,966831
경상남도 거창군,경상남도,거창군,2,59700
경상남도 김해시,경상남도,김해시,1,531887
경상남도 남해군,경상남도,남해군,1,39918
경상남도 사천시,경상남도,사천시,1,108580
경상남도 양산시,경상남도,양산시,4,359083
경상남도 의령군,경상남도,의령군,1,25092
경상남도 진주시,경상남도,진주시,1,339052
경상남도 창녕군,경상남도,창녕군,1,56067
경상남도 통영시,경상남도,통영시,2,118612
경상북도 경산시,경상북도,경산시,4,266702
경상북도 경주시,경상북도,경주시,1,245127
경상북도 고령군,경상북도,고령군,1,30125
경상북도 구미시,경상북도,구미시,1,404800
경상북도 김천시,경상북도,김천시,2,135561
경상북도 문경시,경상북도,문경시,1,67340
경상북도 봉화군,경상북도,봉화군,1,28934
경상북도 상주시,경상북도,상주시,2,92010
경상북도 안동시,경상북도,안동시,2,153444
경상북도 영주시,경상북도,영주시,2,99028
경상북도 울진군,경상북도,울진군,2,46166
경상북도 의성군,경상북도,의성군,1,48780
경상북도 청도군,경상북도,청도군,1,40617
경상북도 칠곡군,경상북도,칠곡군,1,107599
광주광역시 광산구,광주광역시,광산구,5,392016
광주광역시 남구,광주광역시,남구,1,207321
광주광역시 동구,광주광역시,동구,1,106413
광주광역시 북구,광주광역시,북구,2,424535
대구광역시 달서구,대구광역시,달서구,1,522712
대구광역시 달성군,대구광역시,달성군,1,257764
대구광역시 북구,대구광역시,북구,2,413719
대구광역시 서구,대구광역시,서구,2,163545
대구광역시 수성구,대구광역시,수성구,1,409044
대구광역시 중구,대구광역시,중구,2,96757
대전광역시 대덕구,대전광역시,대덕구,2,168435
대전광역시 동구,대전광역시,동구,1,218595
대전광역시 서구,대전광역시,서구,1,458487
대전광역시 유성구,대전광역시,유성구,3,369483
대전광역시 중구,대전광역시,중구,1,224687
부산광역시 기장군,부산광역시,기장군,1,175817
부산광역시 부산진구,부산광역시,부산진구,1,359856
부산광역시 북구,부산광역시,북구,1,267988
부산광역시 사상구,부산광역시,사상구,2,199070
부산광역시 사하구,부산광역시,사하구,1,292791
부산광역시 서구,부산광역시,서구,1,103239
부산광역시 연제구,부산광역시,연제구,2,212481
부산광역시 해운대구,부산광역시,해운대구,1,376448
서울특별시 강남구,서울특별시,강남구,1,557942
서울특별시 강동구,서울특별시,강동구,2,468284
서울특별시 강북구,서울특별시,강북구,1,283934
서울특별시 관악구,서울특별시,관악구,1,478167
서울특별시 광진구,서울특별시,광진구,1,332571
서울특별시 노원구,서울특별시,노원구,1,492072
서울특별시 동대문구,서울특별시,동대문구,1,339611
서울특별시 동작구,서울특별시,동작구,1,376440
서울특별시 마포구,서울특별시,마포구,1,361841
서울특별시 서초구,서울특별시,서초구,1,408382
서울특별시 성동구,서울특별시,성동구,2,274287
서울특별시 송파구,서울특별시,송파구,1,651910
서울특별시 양천구,서울특별시,양천구,1,431623
서울특별시 영등포구,서울특별시,영등포구,1,374201
서울특별시 은평구,서울특별시,은평구,2,461086
서울특별시 종로구,서울특별시,종로구,4,138577
서울특별시 중구,서울특별시,중구,1,120931
서울특별시 중랑구,서울특별시,중랑구,2,379541
울산광역시 울주군,울산광역시,울주군,1,218984
인천광역시 계양구,인천광역시,계양구,1,280623
인천광역시 동구,인천광역시,동구,1,58382
인천광역시 미추홀구,인천광역시,미추홀구,1,412534
인천광역시 부평구,인천광역시,부평구,1,492193
인천광역시 서구,인천광역시,서구,1,632347
인천광역시 연수구,인천광역시,연수구,2,400174
인천광역시 옹진군,인천광역시,옹진군,1,20020
전라남도 강진군,전라남도,강진군,1,32197
전라남도 고흥군,전라남도,고흥군,2,60273
전라남도 곡성군,전라남도,곡성군,1,26590
전라남도 광양시,전라남도,광양시,1,154592
전라남도 나주시,전라남도,나주시,1,116704
전라남도 목포시,전라남도,목포시,2,210261
전라남도 무안군,전라남도,무안군,1,92487
전라남도 보성군,전라남도,보성군,1,37070
전라남도 순천시,전라남도,순천시,2,276126
전라남도 신안군,전라남도,신안군,1,38102
전라남도 여수시,전라남도,여수시,1,268120
전라남도 영광군,전라남도,영광군,1,51999
전라남도 장성군,전라남도,장성군,1,42087
전라남도 장흥군,전라남도,장흥군,1,34467
전라남도 진도군,전라남도,진도군,1,28545
전라남도 함평군,전라남도,함평군,2,30018
전라남도 화순군,전라남도,화순군,2,60832
제주특별자치도 서귀포시,제주특별자치도,서귀포시,2,182019
제주특별자치도 제주시,제주특별자치도,제주시,3,488613
충청남도 공주시,충청남도,공주시,3,101441
충청남도 논산시,충청남도,논산시,1,108658
충청남도 보령시,충청남도,보령시,1,93914
충청남도 서산시,충청남도,서산시,1,174656
충청남도 서천군,충청남도,서천군,1,48289
충청남도 홍성군,충청남도,홍성군,1,99133
충청북도 단양군,충청북도,단양군,1,27425
충청북도 영동군,충청북도,영동군,1,43597
충청북도 제천시,충청북도,제천시,1,128725
충청북도 충주시,충청북도,충주시,3,207324
