시도명,시군구명,계
강원특별자치도,강릉시,207737
강원특별자치도,고성군,27027
강원특별자치도,동해시,87716
강원특별자치도,삼척시,61952
강원특별자치도,속초시,81025
강원특별자치도,양구군,20631
강원특별자치도,양양군,27485
강원특별자치도,영월군,36820
강원특별자치도,원주시,362213
강원특별자치도,인제군,31532
강원특별자치도,정선군,33583
강원특별자치도,철원군,40540
강원특별자치도,춘천시,286110
강원특별자치도,태백시,37997
강원특별자치도,평창군,40387
강원특별자치도,홍천군,66810
강원특별자치도,화천군,22975
강원특별자치도,횡성군,46160
경기도,가평군,62505
경기도,고양시 덕양구,493411
경기도,고양시 일산동구,294197
경기도,고양시 일산서구,283063
경기도,과천시,85527
경기도,광명시,277744
경기도,광주시,397756
경기도,구리시,186775
경기도,군포시,256407
경기도,김포시,486905
경기도,남양주시,732586
경기도,동두천시,86889
경기도,부천시 소사구,227955
경기도,부천시 오정구,152386
경기도,부천시 원미구,390476
경기도,성남시 분당구,471259
경기도,성남시 수정구,235183
경기도,성남시 중원구,207339
경기도,수원시 권선구,362859
경기도,수원시 영통구,361401
경기도,수원시 장안구,274670
경기도,수원시 팔달구,194547
경기도,시흥시,518586
경기도,안산시 단원구,293853
경기도,안산시 상록구,327697
경기도,안성시,193612
경기도,안양시 동안구,325911
경기도,안양시 만안구,228730
경기도,양주시,288273
경기도,양평군,126825
경기도,여주시,114751
경기도,연천군,40804
경기도,오산시,241295
경기도,용인시 기흥구,436475
경기도,용인시 수지구,375277
경기도,용인시 처인구,272772
경기도,의왕시,154671
경기도,의정부시,461032
경기도,이천시,222623
경기도,파주시,510140
경기도,평택시,597734
경기도,포천시,141572
경기도,하남시,329341
경기도,화성시,966831
경상남도,거제시,232963
경상남도,거창군,59700
경상남도,고성군,48175
경상남도,김해시,531887
경상남도,남해군,39918
경상남도,밀양시,100708
경상남도,사천시,108580
경상남도,산청군,33308
경상남도,양산시,359083
경상남도,의령군,25092
경상남도,진주시,339052
경상남도,창녕군,56067
경상남도,창원시 마산합포구,178378
경상남도,창원시 마산회원구,179026
경상남도,창원시 성산구,244657
경상남도,창원시 의창구,209729
경상남도,창원시 진해구,188903
경상남도,통영시,118612
경상남도,하동군,40825
경상남도,함안군,58926
