시도명,시군구명,계
서울특별시,종로구,11072
서울특별시,종로구,9011
서울특별시,종로구,2220
서울특별시,종로구,9045
서울특별시,종로구,17239
서울특별시,종로구,7869
서울특별시,종로구,9553
서울특별시,종로구,3795
서울특별시,종로구,6673
서울특별시,종로구,5297
서울특별시,종로구,7003
서울특별시,종로구,15910
서울특별시,종로구,4486
서울특별시,종로구,7342
서울특별시,종로구,6235
서울특별시,종로구,5745
서울특별시,종로구,10082
서울특별시,중구,2185
서울특별시,중구,4328
서울특별시,중구,2527
서울특별시,중구,4349
서울특별시,중구,4538
서울특별시,중구,5749
서울특별시,중구,3095
서울특별시,중구,7383
서울특별시,중구,13043
서울특별시,중구,15992
서울특별시,중구,12602
서울특별시,중구,10112
서울특별시,중구,9859
서울특별시,중구,13071
서울특별시,중구,12098
서울특별시,용산구,15807
서울특별시,용산구,8704
서울특별시,용산구,6754
서울특별시,용산구,18621
서울특별시,용산구,17036
서울특별시,용산구,13501
서울특별시,용산구,10464
서울특별시,용산구,11157
서울특별시,용산구,20938
서울특별시,용산구,24924
서울특별시,용산구,7718
서울특별시,용산구,6060
서울특별시,용산구,8492
서울특별시,용산구,14170
서울특별시,용산구,12488
서울특별시,용산구,7245
서울특별시,성동구,15982
서울특별시,성동구,26105
서울특별시,성동구,21360
서울특별시,성동구,12025
서울특별시,성동구,13747
서울특별시,성동구,22621
서울특별시,성동구,14729
서울특별시,성동구,14598
서울특별시,성동구,21323
서울특별시,성동구,14077
서울특별시,성동구,25313
서울특별시,성동구,15216
서울특별시,성동구,11727
서울특별시,성동구,14199
서울특별시,성동구,9682
서울특별시,성동구,9485
서울특별시,성동구,12098
서울특별시,광진구,22996
서울특별시,광진구,18748
서울특별시,광진구,15149
서울특별시,광진구,20205
서울특별시,광진구,15365
서울특별시,광진구,27301
서울특별시,광진구,10936
서울특별시,광진구,33823
서울특별시,광진구,21791
서울특별시,광진구,23447
서울특별시,광진구,27066
서울특별시,광진구,19685
서울특별시,광진구,22971
서울특별시,광진구,25336
서울특별시,광진구,27752
서울특별시,동대문구,38609
서울특별시,동대문구,22854
서울특별시,동대문구,32893
서울특별시,동대문구,17656
서울특별시,동대문구,27864
서울특별시,동대문구,27090
서울특별시,동대문구,37147
서울특별시,동대문구,32866
서울특별시,동대문구,18487
서울특별시,동대문구,10237
