Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2020-01-02,48825.4765625,49533.09216485507,48648.57266191123,49090.832413383156,12993228
2020-01-03,49090.82421875,50063.795509572075,48560.11260557432,49533.0838963964,15422255
2020-01-06,49090.82421875,49179.27615427928,48294.756798986484,48560.11260557432,10278951
2020-01-07,49356.1796875,49886.89129704301,49179.275817652335,49267.72775257617,10009778
2020-01-08,50240.70703125,50771.418725242074,49444.639490261885,49709.99533725792,23501171
2020-01-09,51832.828125,51832.828125,50771.40502346417,51655.92427474403,24102579
2020-01-10,52628.90625,52805.810136554624,51567.482930672275,52009.742647058825,16000170
2020-01-13,53071.16015625,53071.16015625,52275.09275390625,52717.352421875,11359139
2020-01-14,53071.16015625,53955.6794921875,52982.70822265625,53424.967890625,16906295
2020-01-15,52186.65625,52717.36800847457,52098.20429025424,52628.91604872881,14300928
2020-01-16,53690.328125,53690.328125,52186.645129736404,52275.09707063426,14381774
2020-01-17,54221.04296875,54840.206591557915,53955.687130403756,54751.754645442496,16025661
2020-01-20,55194.015625,55547.823417467946,54574.851988181086,54840.20783253205,12528855
2020-01-21,54309.4921875,55194.01160423453,54132.5883041531,54840.20383754072,11142693
2020-01-22,55105.5625,55370.91833868379,53424.975521669345,53513.42746789727,15339565
2020-01-23,53778.7734375,54663.29273745888,53690.32150750411,54663.29273745888,14916555
2020-01-28,52009.7421875,52540.45384247449,51567.48247502126,52540.45384247449,23664541
2020-01-29,52275.09375,52805.80536167513,52009.737944162436,52275.09375,16446102
2020-01-30,50594.50390625,52009.734784746506,50240.69618662587,52009.734784746506,20821939
2020-01-31,49886.890625,51655.92929964539,49886.890625,51125.21769725178,19749457
2020-02-03,50594.50390625,50771.40776606206,48825.46530812937,49090.82109784747,23995260
2020-02-04,52098.19140625,52186.643344121396,50240.70071095077,50506.05652456494,21800192
2020-02-05,52628.90625,53248.06985294118,52098.194590336134,53071.16596638656,19278165
2020-02-06,54044.1328125,54044.1328125,52805.80571041326,53159.613453866616,14727159
2020-02-07,53424.96484375,54132.58027214404,52805.801343905216,54044.128343594784,16402493
2020-02-10,52805.8046875,52894.25662164991,52275.0930826005,52363.54501675042,13107121
2020-02-11,52982.69921875,53690.3145672475,52805.79538162563,52894.24730018782,11071231
